,course_id,title,instructors,key_words,course_descr
190,china-culture-contemporary,Chinese Culture and Contemporary China ,程爱民 张斌 杨居柳 敖雪岗,Arts and Humanities History ,"This course of Chinese Culture and Contemporary China will explore the foundations of Chinese civilization and the dimensions of Chinese culture. It will pay particular attention to the relationship between Chinese culture and the present-day life of the Chinese people and to the different elements of the culture which are under the present social structures, belief systems, literature, arts, customs, etc. The course aims at providing students with a deeper knowledge of Chinese culture, thus enabling them to better understand China. 
The course will cover the following main areas of topics: (1) the foundations of Chinese civilization: its geography, language, and history; (2) the core concepts in Chinese philosophies and religions: Confucianism, Taoism, and Buddhism; (3), literature and arts, including Chinese calligraphy, painting, Tang poetry, and classical fiction; (4) society and life, including education, the role of women, Chinese food, and traditional holidays; (5) travel and landscapes, including well-known Chinese cities, mountains, ethnic regions and customs; (6) Chinese media, culture and sports, including TV and movies, fashion, Chinese gongfu and taiji. 
In addition, students will be expected to participate in a buddy program beyond curriculum if they have a chance to come to Nanjing. Ideally they will be paired up: an international student with a Nanjing University student to allow students to learn firsthand about Chinese customs, culture, and language. Students will be required to complete various projects and homework assignments as well, which will encourage them to use Nanjing University and the city of Nanjing as a laboratory to apply what they learn during their stay at Nanjing University. Essentials of Chinese Confucian Thought  Essentials of Chinese Painting Essentials of Chinese Music Essentials of Chinese Costume"
191,chinese-politics-2,Chinese Politics Part 2 – China and the World,David Zweig,Social Sciences Governance and Society ,"One of the most significant changes in the world in the past 30 years is the opening of China to the outside world and its engagement with that world. In the initial years of the opening, external forces influenced China’s economy, regional balances, bureaucracy, as well as the political authority of local leaders in the coastal areas. More recently, the world is feeling the effects of a rising China which seeks resources and talent from all around the globe and uses its financial wealth to strengthen its position in the world. This course tracks the opening of China up from 1978 until it joins the WTO, focusing on how the world affected China’s internal development. We then look at various aspects of China’s “going out strategy” — its search for energy, talent, as well as its relations with the United States and the states within the Asia-Pacific region. The instructor has been deeply engaged in research on all these topics, having lived in China during various stages of China’s opening to the outside world.

Course Overview video: https://youtu.be/7FpNL67EbE4 Orientation and Module 1: China’s Opening to the Outside World 1978-2000 Module 2: China’s Changing Relations with the World 2000-2016 Module 3: China’s Global Search for Energy and Resources Module 4: China’s Global Search for Talent and Technology 1978-2016"
192,chinesepolitics1,Chinese Politics Part 1 – China and Political Science,David Zweig,Social Sciences Governance and Society ,"This course offers a conceptual framework for understanding China that highlights the intersection of politics and economics. It shows that rather than develop into a full blown market economy, state and party officials at all levels of the political system maintain significant influence in economic development. Such a “political” economy has had both positive and negative outcomes, which we will assess in detail. We also look at the origins, views, backgrounds and relations among leaders, and how those leaders make decisions about public policy and try to get those decisions implemented down through the system. China has few formal institutions through which citizens can participate in politics, but we will study the strategies Chinese people use to try to influence their leaders’ decisions. Finally, we assess China’s future and whether rapid economic development and the emergence of a vibrant middle class will push China towards greater democracy or whether the single party system is likely to survive into the future. The course is a quite useful background for Chinese Politics Part 2 – China and the World.

Course Overview video: https://youtu.be/7FpNL67EbE4 Orientation and Module 1: Models of the Chinese Political System and the Structure of the Chinese Party/State Module 2: Elite Politics in China Module 3: Policy Process in China Module 4: Understanding Societal Engagement in Politics in China"
193,chronic-pain,Preventing Chronic Pain: A Human Systems Approach,Dr. James Fricton DDS MS,Health Patient Care Chronic Pain Management Plan Pain Management Opiod Addiction And Abuse Treatment,"Chronic pain is at epidemic levels and has become the highest-cost condition in health care. This course uses evidence-based science with creative and experiential learning to better understand chronic pain conditions and how they can be prevented through self-management in our cognitive, behavioral, physical, emotional, spiritual, social, and environmental realms.

The goal of this course is to blend creative, experiential, and evidence-based teaching strategies to help participants understand chronic pain conditions and how a human systems approach can be applied to self-management strategies to reduce risk factors, enhance protective factors, and prevent chronic pain. There are four major objectives to the course;

1. Describe the prevalence, personal impact, and health care dilemma associated with chronic pain.
2. Recognize the clinical characteristics and underlying etiology of several common pain conditions and the peripheral, central, and genetic mechanisms of chronic pain
3. Based on the literature associated with risk and protective factors in the seven realms of our lives, learn specific strategies in each realm that can be employed daily to prevent chronic pain and enhance wellness.
4. Appreciate the value of a human systems approach to health care and how it can provide a basis for integrative, interdisciplinary, and individualized care to preventing pain and enhancing wellness.

CONTINUING EDUCATION CREDIT
Health Care Professionals
Health care professionals who participate in this CE activity may submit this certificate statement of participation to their appropriate accrediting organizations or state boards for consideration of credit.  The participant is responsible for determining whether this activity meets the requirements for acceptable continuing education.  Email your Coursera certificate statement of completion to your appropriate organization. Introduction to the Course (Week 1) The Problem of Chronic Pain (Week 2) Common Pain Conditions and their Mechanisms (Week 3) Common Pain Conditions and their Mechanisms (Week 4)"
194,classical-composition,Write Like Mozart: An Introduction to Classical Music Composition,Peter Edwards,Arts and Humanities Music and Art ,"This course introduces students to strategies for style writing of common practice European art music.  The issues of harmonic progression, voice leading, and texture are addressed in addition to relevant compositional concepts like repetition, variation, and elaboration.  The course aims to offer a creative space even within the restrictions of stylistic emulation. Module One Module Two Module Three Module Four"
195,classical-sociological-theory,Classical Sociological Theory ,Bart van Heerikhuizen,Social Sciences Governance and Society ,"This Massive Open Online Course (MOOC) will offer the participants an introduction into the most important classical sociological readings between the 18th and 20th century. Highly influential social science scholars, such as Karl Marx, Max Weber and Emile Durkheim, will be discussed during 8 sessions. Combined with small tests, based on the video’s and recommended readings, the participants will be encouraged to dive deeply into the complex texts and get familiar with classical sociological concepts that are still very relevant today. Session 1: Classical Sociological Theory - An Introduction Session 2: Bernard Mandeville (1670-1733) and Adam Smith (1723-1790) Session 3: Auguste Comte (1798-1857) Session 4: Alexis de Tocqueville (1805-1859)"
196,classics-chinese-humanities,Classics of Chinese Humanities: Guided Readings,Prof. Ou Fan Leo Lee 李歐梵,Arts and Humanities Music and Art ,"An introductory yet trenchant exploration of select Chinese classic texts that cover the domains of classical literature, history, philosophy, and fine arts. Introduction Lecture 1: The True Face of Hero Lecture 2: The Way of Confucian Tradition Lecture 3: Landscape of Immortality Lecture 4: In Search of the Chinese Soul & Course Assignment"
197,client-needs-and-software-requirements,Client Needs and Software Requirements ,Kenny Wong,Computer Science Design and Product Agile Software Development User Story Software Requirements Use Case,This course covers practical techniques to elicit and express software requirements from client interactions. Module 1: Introduction to Requirements Module 2: User Interaction Module 3: Writing Requirements Module 4: Quality Requirements
198,climate-change-mitigation,Climate Change Mitigation in Developing Countries,Harald Winkler ,Physical Science and Engineering Environmental Science and Sustainability ,"This course challenges you to consider how one might lift societies out of poverty while also mitigating greenhouse gas emissions. We explore the inherent complexity of developing country governments wanting to grow their economies in a climate friendly way. You will be introduced to an approach with which to address this challenge. The approach consists of a facilitated process whereby academic researchers and high-level influential actors within society co-produce knowledge. You will track this process in four Latin American countries - Brazil, Chile, Colombia, Peru, and South Africa. You will hear from various professionals about their contexts and the different challenges and opportunities the process includes.

This course will cover topics such as facilitation process techniques, energy modeling, scenario building, innovation and policy making. You will have the opportunity to respond to these topics with ideas and reflection from your own context. Whether you are a climate change practitioner, work in development or are simply curious about how climate mitigation is understood, this course will give you insights into the complexity of how countries from the South pursue development goals while addressing climate mitigation.

The course is free to enroll and take. You will be offered the option of purchasing a certificate of completion, which you become eligible for if you successfully complete the course requirements.  This can be an excellent way of staying motivated!  Financial Aid is also available. Complexity of climate change mitigation Mandating and co-production of knowledge Mitigation action research and modelling Minding the mitigation gap"
199,climate-science,From Climate Science to Action,Alan S. Miller  Claudia Barrera,Social Sciences Governance and Society ,"Each part of the world faces specific vulnerabilities to climate change and has different opportunities to mitigate the effects and build resilience in the 21st century. With the ratification of the Paris Agreement, many countries have acceded to act in combatting climate change. Indeed, without climate action, decades of sustainable development is at risk, thus making this a ‘make or break’ point in time. Showcasing the most recent scientific evidence, explaining the different regional impacts and divulging climate action strategies, along with interactive tools such as a Carbon Footprint Tracker and (I) NDC Platform, this MOOC provides some opportunities, where you can take action on climate change.

About the Course

This action-oriented MOOC gives you the opportunity to learn about regional climate change impacts and sector-specific strategies to increase resilience and move towards a low-carbon future. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

•  Latin America and Caribbean
•  Sub-Saharan Africa
•  Middle East and North Africa
•  Eastern Europe and Central Asia
•  East Asia and Pacific
•  South Asia

 In this endeavor, the MOOC brings together renowned scientists and policymakers to provide a synthesis of the most recent scientific evidence on climate change, regional low emissions and climate resilient development strategies across sectors. A team of expert Instructors will lead discussions around the Paris Agreement, reflections from COP22 and the progress on Nationally Determined Contributions (NDCs).

Course Syllabus

Overview 

‘From Climate Science to Action’ is divided into four weeks. The first two weeks will provide a comprehensive overview of the scientific evidence for climate change, followed by region-specific insights on the impacts of a warmer world in the 21st century. The last two weeks will focus on action strategies that are being undertaken in different regions and countries to meet the climate challenge, and how you as an individual can take action to avoid a warmer world!

Week 1:  Climate Change in the 21st Century

•  Historical and projected observed changes in the climate system, leading up to the end of the 21st century
•  The potential of Intended Nationally Determined Contributions (INDCs) submitted at COP 21 from 187 countries to induce climate action
•  Trends in climate change impacts, including loss of Arctic sea ice, melting glaciers, increased heat waves and extreme temperatures, and drought and aridity 
•  Possible responses from natural systems, explaining how warming could result in sea-level rise, heat waves and extreme temperatures, and ocean acidification

Week 2: Sectoral and Regional Impacts

•  Impacts on key development sectors—from warming above pre-industrial temperatures and projected climate trends—across each of the world’s regions
•  Sectoral impacts focusing on agricultural production, water resources, ecosystem services, and coastal vulnerability for affected populations 
•  Importance of risks with the potential to reverse hard-won development gains and potentially trap millions in poverty, illustrating the need for urgent action now

Week 3: From Science to Action on Climate Change

•  Region-specific discussions on mitigation actions needed to reduce emissions while decreasing vulnerability to climate change impacts through adaptation and by building climate resilience
•  Perspectives from regional experts on their experiences in strategies and actions proposed in each region to help transition towards a low-emissions, climate-resilient development path 
•  Discussions on the progress of the Nationally Determined Contributions (NDCs), outcomes of the Paris Agreement and reflections from the Conference of Parties (COP)22

Week 4: What You Can Do

•  Transformative impact of day-to-day changes when brought to a global scale
•  The rationale for acting now, acting together and acting differently
•  Examples and expected benefits of mitigation and adaptation policies, considering both contributions to global emission reductions and local development opportunities

In addition to the core resources and assignments, you may choose to go further, engaging in fun optional exercises, networking, discussion, and diving deeper into our rich selection of supplemental resources. You will have the opportunity to explore these issues in depth and tailor your learning experience for one or more of the following regions:

•  Latin America and Caribbean
•  Sub-Saharan Africa
•  Middle East and North Africa
•  Eastern Europe and Central Asia
•  East Asia and Pacific
•  South Asia

Course Format

This MOOC has a week-by-week structure, with resources, activities and exercises for you to engage in during each of the four weeks of the course. Each week, you will find a variety of course material, including: 

•  Interactive video talks by renowned climate scientists and practitioners 
•  Interactive tools: the Carbon Footprint Tracker, (I) NDC platform
•  Resources: Core, optional (deep dive) and fun interactives on the week’s theme
•  Quizzes that check your knowledge, reinforce the lesson’s material and provide immediate feedback
•  Assignments that will sharpen your skills of analysis, reflection and communication
•  Discussion forums and social media that enable collaboration with others from around the world, enriching interaction among participants
•  As a final project, you will create a digital artifact 

You can also go much further than this, engaging in optional exercises, networking, or discussion forums and dive deeper into our rich selection of additional resources. We also will use e-discussions, and other tools to facilitate dialogue between the learners and experts.

Recommended Background: No background knowledge is necessary. The content of this course is designed to be accessible to students from any discipline.

Connect: Communicate and share resources via Twitter using hashtag #learnclimate. Sign up for a free account at http://twitter.com Climate Change in the 21st Century  Sectoral and Regional Impacts From Science to Action on Climate Change What You Can Do"
200,clinical-data-management,Data Management for Clinical Research,Stephany Duda PhD Paul Harris PhD,Health Research Survey Design Data Collection Data Management Clinical Data Management,"This course presents critical concepts and practical methods to support planning, collection, storage, and dissemination of data in clinical research.

Understanding and implementing solid data management principles is critical for any scientific domain. Regardless of your current (or anticipated) role in the research enterprise, a strong working knowledge and skill set in data management principles and practice will increase your productivity and improve your science. Our goal is to use these modules to help you learn and practice this skill set. 

This course assumes very little current knowledge of technology other than how to operate a web browser. We will focus on practical lessons, short quizzes, and hands-on exercises as we explore together best practices for data management. Research Data Collection Strategy Electronic Data Capture Fundamentals Planning a Data Strategy for a Prospective Study ""Practicing What Weve Learned: Implementation"""
201,clinical-epidemiology,Clinical Epidemiology,Diederick E. Grobbee Arno W. Hoes,Health Basic Science ,"Evidence forms the basis of modern medicine. Clinical research provides us with this evidence, guiding health professionals towards solutions to problems that they face in daily practice. Transferring existing problems in medical practice to a research setting is a challenging process that requires careful consideration. The practice of clinical epidemiology aims to address this through the application of established approaches for research in human populations, while at all times focussing on the problem at hand from a clinical perspective.

This course teaches the principles and practice of clinical epidemiology, drawing on real problems faced by medical professionals and elaborating on existing examples of clinical research. Medical researchers will lean how to translate real clinical problems into tangible research questions for investigation, gaining insight into some of the most important considerations when designing an epidemiological study along the way. 

Core concepts will be introduced along four key themes: diagnosis, prognosis, treatment and etiology. Followers of this course will develop their understanding of the topics addressed through lectures from experts, peer interaction and review assignments. About the course Introduction to Epidemiology Diagnostic Research Prognostic Research"
202,clinical-kidney-transplantation,"Clinical Kidney, Pancreas and Islet Transplantation",Marlies Reinders Frans Claas Cees van Kooten  Sebastiaan Heidt Volkert  Huurman Hans de Fijter Eelco de Koning  Andre Baranski Ton Rabelink Aiko de Vries Jan Nico Bouwes Bavinck Leo Visser  Ingeborg Bajema,Health Patient Care ,"Kidney transplantation is a major advance of modern medicine which provides high-quality of life for patients with end-stage renal disease. What used to be an experimental, risky, and very limited treatment option more than 50 years ago is now routinely performed in many countries worldwide. The number of renal transplants is expected to rise sharply in the next decade since the proportion of patients with end stage renal disease is increasing. 

Are you interested in clinical kidney, pancreas and islet transplantation? If you are a (bio) medical student or a health care professional who works in the (pre) clinical transplant field this might be the course for you. This course is also for anyone interested in the research and knowledge on clinical transplantation. The course will be taught by a multidisciplinary team of transplant professionals and will give you the state of the art updates. 

It is divided in 4 modules: 
1) Before the transplant 
2) The surgical procedures and the challenged patient, including the patient with diabetes 
3) Early challenges 
4) Late challenges after transplantation. 

The offered modules will include lectures, interactive patient cases, 3D movies, interviews with well-known experts and with patients and a donor, a serious game to increase knowledge of the field and of course an active forum. Become an expert and join us!

The course is endorsed by The European Society of Organ Transplantation (ESOT), The International Society of Nephrology (ISN) and The Transplantation Society (TTS).

This MOOC has been accredited for Continuing Medical Education (CME). Health care professionals who works in the (pre) clinical transplant field, other health care professionals and general practitioners can obtain CME credit at 'LUMC-Boerhaave CME' upon passing the course. For more information we like to refer to the ""Additional introduction for obtaining CME credit"" module in week 1 of the course 

For another interesting course on organ donation and transplantation, see Organ Donation: From Death to Life from Cape Town University https://www.coursera.org/learn/organ-donation Welcome to the course Before the Transplant The Procedure and the Patient  Early Challenges in Transplantation Late Challenges in Transplantation Final Quiz "
203,clinical-research,Understanding Clinical Research: Behind the Statistics,Juan H Klopper,Health Research Clinical Research Statistics Statistical Analysis Statistical Hypothesis Testing,"If you’ve ever skipped over`the results section of a medical paper because terms like “confidence interval” or “p-value” go over your head, then you’re in the right place. You may be a clinical practitioner reading research articles to keep up-to-date with developments in your field or a medical student wondering how to approach your own research. Greater confidence in understanding statistical analysis and the results can benefit both working professionals and those undertaking research themselves. 

If you are simply interested in properly understanding the published literature or if you are embarking on conducting your own research, this course is your first step. It offers an easy entry into interpreting common statistical concepts without getting into nitty-gritty mathematical formulae. To be able to interpret and understand these concepts is the best way to start your journey into the world of clinical literature. That’s where this course comes in - so let’s get started!

The course is free to enroll and take. You will be offered the option of purchasing a certificate of completion which you become eligible for, if you successfully complete the course requirements. This can be an excellent way of staying motivated!  Financial Aid is also available. Getting things started by defining study types Describing your data  Building an intuitive understanding of statistical analysis The important first steps: Hypothesis testing and confidence levels"
204,clinical-skills,Teaching and Assessing Clinical Skills,Sally Santen M.D. Ph.D.,Health Patient Care ,"The purpose of this course is to improve feedback, clinical teaching, and assessment of clinical skills. UNIT 1 - PROVIDING FEEDBACK    UNIT 2 - ORIENTING THE LEARNER UNIT 3 - USING THE RIME MODEL UNIT 4 - ENTRUSTMENT AND  AUTONOMY"
205,clinical-terminology,Clinical Terminology for International and U.S. Students,Valerie Swigart Ph.D. R.N. Michael Gold Ph.D.,Health Patient Care English Language Clinical Experience Vital Signs Medical Device,"Understanding the clinical terms and abbreviations commonly used during verbal or written communication in U.S. hospitals is challenging. This course is designed for U.S. health care profession students and for international students and practitioners who want to become more familiar with the language of the U.S. clinical setting.  Others, such as caregivers and medical interpreters, who wish to develop a better understanding of terms and abbreviations used by health care providers will find this course helpful. The course provides visual and auditory learning experiences to enhance the understanding of terms and abbreviations commonly encountered on a general U.S. hospital unit. All content including quizzes are available at no cost to the learner. If you need a certificate, you can apply for financial aid or pay the fee. To find out more, click Learn more and apply next to the information about Financial Aid. (Use a computer, not a mobile device, for this step.) Introduction to Clinical Terms and Abbreviations Decoding Complex Medical Terms  Advanced Decoding Strategies for Clinical Terms Diseases of the Bodily Systems"
206,clinical-trials,Design and Interpretation of Clinical Trials,Janet Holbrook PhD MPH Lea T. Drye PhD,Health Research Clinical Research Trial Design Clinical Trial Design Clinical Trial Management,"Clinical trials are experiments designed to evaluate new interventions to prevent or treat disease in humans. The interventions evaluated can be drugs, devices (e.g., hearing aid), surgeries, behavioral interventions (e.g., smoking cessation program), community health programs (e.g. cancer screening programs) or health delivery systems (e.g., special care units for hospital admissions). We consider clinical trials experiments because the investigators rather than the patients or their doctors select the treatment the patients receive. Results from randomized clinical trials are usually considered the highest level of evidence for determining whether a treatment is effective because trials incorporates features to ensure that evaluation of the benefits and risks of treatments are objective and unbiased. The FDA requires that drugs or biologics (e.g., vaccines) are shown to be effective in clinical trials before they can be sold in the US.
The course will explain the basic principles for design of randomized clinical trials and how they should be reported. In the first part of the course, students will be introduced to terminology used in clinical trials and the several common designs used for clinical trials, such as parallel and cross-over designs. We will also explain some of the mechanics of clinical trials, like randomization and blinding of treatment. In the second half of the course, we will explain how clinical trials are analyzed and interpreted. Finally, we will review the essential ethical consideration involved in conducting experiments on people. Types of Trial Designs Randomization and Masking Outcomes and Analysis Ethics"
207,cloud-applications-part1,"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure",Roy H. Campbell Reza Farivar,Computer Science Computer Security and Networks Cloud Infrastructure Cloud Applications Cloud Storage Cloud Computing,"Welcome to the Cloud Computing Applications course, the first part of a two-course series designed to give you a comprehensive view on the world of Cloud Computing and Big Data! 

In this first course we cover a multitude of technologies that comprise the modern concept of cloud computing. Cloud computing is an information technology revolution that has just started to impact many enterprise computing systems in major ways, and it will change the face of computing in the years to come.

We start the first week by introducing some major concepts in cloud computing, the economics foundations of it and we introduce the concept of big data. We also cover the concept of software defined architectures, and how virtualization results in cloud infrastructure and how cloud service providers organize their offerings. In week two, we cover virtualization and containers with deeper focus, including lectures on Docker, JVM and Kubernates. We finish up week two by comparing the infrastructure as a service offering by the big three: Amazon, Google and Microsoft. 
Week three moves to higher level of cloud offering, including platform as a service, mobile backend as a service and even serverless architectures. We also talk about some of the cloud middleware technologies that are fundamental to cloud based applications such as RPC and REST, JSON and load balancing. Week three also covers metal as a service (MaaS), where physical machines are provisioned in a cloud environment. 
Week four introduces higher level cloud services with special focus on cloud storage services. We introduce Hive, HDFS and Ceph as pure Big Data Storage and file systems, and move on to cloud object storage systems, virtual hard drives and virtual archival storage options. As discussion on Dropbox cloud solution wraps up week 4 and the course. Course Orientation  Module 1: Introduction to Cloud Computing Module 2: Foundations: Containers Virtual Machine JVM Module 3: MAAS PAAS Web Services Module 4: Storage: Ceph SWIFT HDFS NAAS SAN Zookeeper Course Conclusion"
208,cloud-applications-part2,"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",Reza Farivar Roy H. Campbell,Computer Science Computer Security and Networks Graphs Distributed Computing Big Data Machine Learning,"Welcome to the Cloud Computing Applications course, the second part of a two-course series designed to give you a comprehensive view on the world of Cloud Computing and Big Data!

In this second course we continue Cloud Computing Applications by exploring how the Cloud opens up data analytics of huge volumes of data that are static or streamed at high velocity and represent an enormous variety of information. Cloud applications and data analytics represent a disruptive change in the ways that society is informed by, and uses information. We start the first week by introducing some major systems for data analysis including Spark and the major frameworks and distributions of analytics applications including Hortonworks, Cloudera, and MapR. By the middle of week one we introduce the HDFS distributed and robust file system that is used in many applications like Hadoop and finish week one by exploring the powerful MapReduce programming model and how distributed operating systems like YARN and Mesos support a flexible and scalable environment for Big Data analytics. In week two, our course introduces large scale data storage and the difficulties and problems of consensus in enormous stores that use quantities of processors, memories and disks. We discuss eventual consistency, ACID, and BASE and the consensus algorithms used in data centers including Paxos and Zookeeper. Our course presents Distributed Key-Value Stores and in memory databases like Redis used in data centers for performance. Next we present NOSQL Databases. We visit HBase, the scalable, low latency database that supports database operations in applications that use Hadoop. Then again we show how Spark SQL can program SQL queries on huge data. We finish up week two with a presentation on Distributed Publish/Subscribe systems using Kafka, a distributed log messaging system that is finding wide use in connecting Big Data and streaming applications together to form complex systems. Week three moves to fast data real-time streaming and introduces Storm technology that is used widely in industries such as Yahoo. We continue with Spark Streaming, Lambda and Kappa architectures, and a presentation of the Streaming Ecosystem. Week four focuses on Graph Processing, Machine Learning, and Deep Learning. We introduce the ideas of graph processing and present Pregel, Giraph, and Spark GraphX. Then we move to machine learning with examples from Mahout and Spark. Kmeans, Naive Bayes, and fpm are given as examples. Spark ML and Mllib continue the theme of programmability and application construction. The last topic we cover in week four introduces Deep Learning technologies including Theano, Tensor Flow, CNTK, MXnet, and Caffe on Spark. Course Orientation Module 1: Spark Hortonworks HDFS CAP Module 2: Large Scale Data Storage Module 3: Streaming Systems Module 4: Graph Processing and Machine Learning"
209,cloud-computing,"Cloud Computing Concepts, Part 1",Indranil Gupta,Computer Science Algorithms Distributed Algorithm Distributed Computing C++ Cloud Computing,"Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies – all centered around distributed systems. Learn about such fundamental distributed computing ""concepts"" for cloud computing.
 
Some of these concepts include: clouds, MapReduce, key-value/NoSQL stores, classical distributed algorithms, widely-used distributed algorithms, scalability, trending areas, and much, much more! 
 
Know how these systems work from the inside out. Get your hands dirty using these concepts with provided homework exercises. In the programming assignments, implement some of these concepts in template code (programs) provided in the C++ programming language. Prior experience with C++ is required.
 
The course also features interviews with leading researchers and managers, from both industry and academia. Week 1: Orientation Introduction to Clouds MapReduce  Week 2: Gossip Membership and Grids Week 3: P2P Systems Week 4: Key-Value Stores Time and Ordering"
210,cloud-computing-2,Cloud Computing Concepts: Part 2,Indranil Gupta,Computer Science Algorithms Distributed Computing C++ Cloud Computing NoSQL,"Cloud computing systems today, whether open-source or used inside companies, are built using a common set of core techniques, algorithms, and design philosophies – all centered around distributed systems. Learn about such fundamental distributed computing ""concepts"" for cloud computing.
 
Some of these concepts include: clouds, MapReduce, key-value/NoSQL stores, classical distributed algorithms, widely-used distributed algorithms, scalability, trending areas, and much, much more! 
 
Know how these systems work from the inside out. Get your hands dirty using these concepts with provided homework exercises. In the programming assignments, implement some of these concepts in template code (programs) provided in the C++ programming language. Prior experience with C++ is required.
 
The course also features interviews with leading researchers and managers, from both industry and academia.

This course builds on the material covered in the Cloud Computing Concepts, Part 1 course. Week 1: Course Orientation and Classical Distributed Algorithms Continued Week 2: Concurrency and Replication Control Week 3: Emerging Paradigms Week 4: Classical Systems"
211,cloud-computing-adoption,Moving to the Cloud,Rod Dilnutt Sara Cullen,Business Business Strategy Pricing Change Management Management Communications Management,"The cloud is taking business by storm.  In fact, due to the extraordinary growth of the cloud, it has been described as a tornado, not a fluffy white floating object!

Commercial research analysts consider cloud as one of the most significant trends with a potential to change the whole global IT industry.  Governments, including those in the US, Britain, and Australia, have cloud-first policies now in place which mandate cloud over non-cloud services in ICT procurement.  But CIOs and other senior executives, while it's on the majority of their agendas, aren't sure what it really means for their organisations - how to leverage the benefits, control the commercials, manage the business risk, and adapt their organisations.  

While it is important to set requirements, negotiate commercials (terms, service level agreements, and pricing), and sign the contract - it is also critical that we develop a clear plan for ‘Moving to the Cloud’ which realigns our business architecture, organization and most importantly our people.
This course provides the answers that management must know to be successful and realise the benefits:

•	Where should I go cloud? 
•	What are the commercials?
•	Where is my leverage?
•	How do I realign my business practices and architecture?
•	How do I gear up my people and structure my organisation?

View the MOOC promotional video here: http://tinyurl.com/hvtz2ph Module 1: Introduction Module 2: Cloud Adoption Module 3: Cloud Commercials Module 4: Getting Ready to Move"
212,cloud-computing-project,Cloud Computing Project,Indranil Gupta Roy H. Campbell P. Brighten Godfrey Ankit Singla,Computer Science Computer Security and Networks ,"Note: You should complete all the other courses in this Specialization before beginning this course.

This six-week long Project course of the Cloud Computing Specialization will allow you to apply the learned theories and techniques for cloud computing from the previous courses in the Specialization, including Cloud Computing Concepts, Part 1, Cloud Computing Concepts, Part 2, Cloud Computing Applications, Part 1, Cloud Computing Concepts, Part 2, and Cloud Networking. Orientation Week 1 - Task Overview Week 2 Week 3 Week 4"
213,cloud-networking,Cloud Networking,P. Brighten Godfrey Ankit Singla,Computer Science Computer Security and Networks Software-Defined Networking Python Programming Cloud Infrastructure Cloud Computing,"In the cloud networking course, we will see what the network needs to do to enable cloud computing. We will explore current practice by talking to leading industry experts, as well as looking into interesting new research that might shape the cloud network’s future.

This course will allow us to explore in-depth the challenges for cloud networking—how do we build a network infrastructure that provides the agility to deploy virtual networks on a shared infrastructure, that enables both efficient transfer of big data and low latency communication, and that enables applications to be federated across countries and continents? Examining how these objectives are met will set the stage for the rest of the course.

This course places an emphasis on both operations and design rationale—i.e., how things work and why they were designed this way. We're excited to start the course with you and take a look inside what has become the critical communications infrastructure for many applications today. Orientation Week 1 Week 2 Week 3 Week 4"
214,cluster-analysis,Cluster Analysis in Data Mining,Jiawei Han,Data Science Data Analysis Cluster Analysis Data Clustering Algorithms K-Means Clustering Hierarchical Clustering,"Discover the basic concepts of cluster analysis, and then study a set of typical clustering methodologies, algorithms, and applications. This includes partitioning methods such as k-means, hierarchical methods such as BIRCH, and density-based methods such as DBSCAN/OPTICS. Moreover, learn methods for clustering validation and evaluation of clustering quality. Finally, see examples of cluster analysis in applications. Course Orientation Module 1 Week 2 Week 3 Week 4 Course Conclusion"
215,coaching-conversations,Coaching Conversations,Kris Plachy,Business Leadership and Management ,"Throughout the Coaching Skills for Managers specialization, we’ve discussed many topics for improving coaching conversations with our employees. It is now time to put all of that theory and discussion into practice and examine great examples of common coaching conversations!

Note: This course builds on all previous courses in the Coaching Skills for Managers specialization. It is highly recommended that students complete or be familiar with the topics covered in those courses before taking this course. In particular, you should be familiar with the coaching strategies and tools discussed in previous courses (such as the 5 whys technique, resisting what is, among others), and should have a full understanding of the Thought model and the various components of it: circumstances, thoughts, feelings, actions, and results.

By the end of this course, you will be able to demonstrate appropriate and effective strategies when engaging in coaching conversations with those that you lead. By exploring and analyzing common coaching scenarios that are acted out in this course, you will have a great sense of what works well and not so well during such a conversation. Specifically, you'll be able to better differentiate between a developmental coaching approach and a directive management style, discuss new strategies and techniques for dealing with both mind set and skill set gaps, describe how to use the feedback loop effectively in a conversation, and demonstrate the use of good questioning techniques and the thought model to not only help an employee identify issues, but help the employee really change their thinking.

The final assignment is all about actually having a coaching conversation with another person where you can apply everything you've learned in this course and throughout the Coaching Skills for Managers specialization. Again, it is highly recommended students complete the other courses in the specialization before taking this one. This peer review assignment, in particular, will be difficult to complete without knowledge of the topics covered in these courses.

After going through the course materials and completing the assessments, you will be able to have more effective one-on one-coaching meetings with those you manage and deepen your understanding of the essential practice of coaching conversations. Missing Deadlines and Dealing with Change Former High Performer & Consistently Late to Work Dealing with Difficult Colleagues & Coaching the Coach Key Takeaways for Effective Coaching Milestone 3: Demonstrate Your Ability to Coach Effectively"
